"TITLE = ""Slice Z = -45""";;;;;
"VARIABLES = ""X"", ""Y"", ""V"", ""Ex"", ""Ey"", ""Ez"", ""abs(E)""";;;;;
ZONE I= 50, J= 1, F=POINT;;;;;
v1;v2;u0;u_plus;u_correct;u_correct-(u0+u_plus)
0,0000000000E+00;4,5000000000E+01;1,0608722688E-02;-1,8858584859E-05;1,1163960764E-02;5,7409666121E-04
1,2244897959E+00;4,5000000000E+01;1,0601236316E-02;-1,9813813600E-05;1,1157811565E-02;5,7638906293E-04
2,4489795918E+00;4,5000000000E+01;1,0587732026E-02;-2,0819717391E-05;1,1143271712E-02;5,7635940352E-04
3,6734693878E+00;4,5000000000E+01;1,0563833152E-02;-2,1913150814E-05;1,1119457869E-02;5,7753786870E-04
4,8979591837E+00;4,5000000000E+01;1,0532022831E-02;-2,3091170784E-05;1,1087206938E-02;5,7827527856E-04
6,1224489796E+00;4,5000000000E+01;1,0488669579E-02;-2,4392603911E-05;1,1048312463E-02;5,8403548816E-04
7,3469387755E+00;4,5000000000E+01;1,0444156210E-02;-2,5712302225E-05;1,0996373598E-02;5,7792969042E-04
8,5714285714E+00;4,5000000000E+01;1,0379581298E-02;-2,7347854625E-05;1,0941769826E-02;5,8953638272E-04
9,7959183673E+00;4,5000000000E+01;1,0315006386E-02;-2,8983407025E-05;1,0873328789E-02;5,8730580983E-04
1,1020408163E+01;4,5000000000E+01;1,0244751763E-02;-3,0755759145E-05;1,0799175413E-02;5,8517940972E-04
1,2244897959E+01;4,5000000000E+01;1,0155723443E-02;-3,2980288527E-05;1,0725022037E-02;6,0227888319E-04
1,3469387755E+01;4,5000000000E+01;1,0066695123E-02;-3,5204817910E-05;1,0628534566E-02;5,9704426131E-04
1,4693877551E+01;4,5000000000E+01;9,9776668034E-03;-3,7429347292E-05;1,0530833868E-02;5,9059641161E-04
1,5918367347E+01;4,5000000000E+01;9,8646174157E-03;-4,0693307933E-05;1,0433133169E-02;6,0920906114E-04
1,7142857143E+01;4,5000000000E+01;9,7471747988E-03;-4,4147370852E-05;1,0327814231E-02;6,2478680314E-04
1,8367346939E+01;4,5000000000E+01;9,6297321819E-03;-4,7601433771E-05;1,0209031021E-02;6,2690027251E-04
1,9591836735E+01;4,5000000000E+01;9,5122895650E-03;-5,1055496690E-05;1,0090247810E-02;6,2901374188E-04
2,0816326531E+01;4,5000000000E+01;9,3792272915E-03;-5,6342997974E-05;9,9606382065E-03;6,3775391298E-04
2,2040816327E+01;4,5000000000E+01;9,2383551897E-03;-6,2547218439E-05;9,8256154062E-03;6,4980743494E-04
2,3265306122E+01;4,5000000000E+01;9,0974830879E-03;-6,8751438905E-05;9,6905926059E-03;6,6186095690E-04
2,4489795918E+01;4,5000000000E+01;8,9566109861E-03;-7,4955659370E-05;9,5384801331E-03;6,5682480646E-04
2,5714285714E+01;4,5000000000E+01;8,8077240652E-03;-8,3870851067E-05;9,3858750009E-03;6,6202178669E-04
2,6938775510E+01;4,5000000000E+01;8,6504263589E-03;-9,5630947649E-05;9,2332698686E-03;6,7847445737E-04
2,8163265306E+01;4,5000000000E+01;8,4931286525E-03;-1,0739104423E-04;9,0735648906E-03;6,8782728234E-04
2,9387755102E+01;4,5000000000E+01;8,3345708071E-03;-1,2020254049E-04;8,9025117147E-03;6,8814344808E-04
3,0612244898E+01;4,5000000000E+01;8,1648047069E-03;-1,4236566817E-04;8,7314585388E-03;7,0901950010E-04
3,1836734694E+01;4,5000000000E+01;7,9950386066E-03;-1,6452879585E-04;8,5491285365E-03;7,1861872571E-04
3,3061224490E+01;4,5000000000E+01;7,8245216093E-03;-1,9199939519E-04;8,3600477397E-03;7,2752552567E-04
3,4285714286E+01;4,5000000000E+01;7,6520609021E-03;-2,3320847383E-04;8,1610999062E-03;7,4224747803E-04
3,5510204082E+01;4,5000000000E+01;7,4796001949E-03;-2,7441755247E-04;7,9524016488E-03;7,4721900640E-04
3,6734693878E+01;4,5000000000E+01;7,2996874125E-03;-3,4205839258E-04;7,7262252539E-03;7,6859623398E-04
3,7959183673E+01;4,5000000000E+01;7,1191848975E-03;-4,1179095482E-04;7,4866652035E-03;7,7927126083E-04
3,9183673469E+01;4,5000000000E+01;6,9380194762E-03;-5,0913625293E-04;7,2319850448E-03;8,0310182152E-04
4,0408163265E+01;4,5000000000E+01;6,7563905666E-03;-5,2614935581E-04;7,0446378217E-03;8,1439661088E-04
4,1632653061E+01;4,5000000000E+01;6,5738803983E-03;-3,8059374163E-04;7,0106467572E-03;8,1736010055E-04
4,2857142857E+01;4,5000000000E+01;6,3909870523E-03;-2,4312499235E-04;6,9698793691E-03;8,2201730918E-04
4,4081632653E+01;4,5000000000E+01;6,2080583760E-03;-1,0952645481E-04;6,9244731735E-03;8,2594125229E-04
4,5306122449E+01;4,5000000000E+01;6,0269341397E-03;1,8410307907E-05;6,8772592445E-03;8,3191479688E-04
4,6530612245E+01;4,5000000000E+01;5,8441255088E-03;1,4966402007E-04;6,8306956322E-03;8,3690610330E-04
4,7755102041E+01;4,5000000000E+01;5,6591142081E-03;2,8525528150E-04;6,7871361979E-03;8,4276670833E-04
4,8979591837E+01;4,5000000000E+01;5,4716320266E-03;4,3374033827E-04;6,7494108001E-03;8,4403843524E-04
5,0204081633E+01;4,5000000000E+01;5,2844875074E-03;5,4481540321E-04;6,6789415207E-03;8,4963861011E-04
5,1428571429E+01;4,5000000000E+01;5,1021199003E-03;4,5272326485E-04;6,4156783560E-03;8,6083519085E-04
5,2653061224E+01;4,5000000000E+01;4,9197522933E-03;3,6063112650E-04;6,1665196955E-03;8,8613627565E-04
5,3877551020E+01;4,5000000000E+01;4,7409882942E-03;2,9880788035E-04;5,9343807841E-03;8,9458460958E-04
5,5102040816E+01;4,5000000000E+01;4,5636489773E-03;2,4895140554E-04;5,7162269552E-03;9,0362657239E-04
5,6326530612E+01;4,5000000000E+01;4,3863096604E-03;1,9909493073E-04;5,5051465272E-03;9,1974193616E-04
5,7551020408E+01;4,5000000000E+01;4,2086889799E-03;1,5833019413E-04;5,3116672899E-03;9,4464811585E-04
5,8775510204E+01;4,5000000000E+01;4,0303681623E-03;1,4018908521E-04;5,1182405222E-03;9,4768327461E-04
6,0000000000E+01;4,5000000000E+01;3,8520473448E-03;1,2204797629E-04;4,9372192612E-03;9,6312394017E-04
